ns_ht_q009	ns_ht_creep_rafting_al_mobility_001	1
ns_ht_q010	ns_ht_oxidation_ce_coating_001	1
ns_ht_q010	ns_ht_oxidation_lpbf_gh3536_001	1
ns_ht_q011	ns_ht_oxidation_ce_coating_001	1
ns_ht_q012	ns_ht_creep_orientation_850c_001	1
ns_ht_q012	ns_ht_creep_rafting_al_mobility_001	1
ns_ht_q021	ns_ht_transfer_learning_creep_design_001	1
ns_ht_q022	ns_ht_drilled_sx_hot_corrosion_001	1
ns_ht_q023	ns_ht_slm_in625_preoxidation_001	1
ns_ht_q023	ns_ht_hot_corrosion_alloying_001	1
ns_ht_q023	ns_ht_drilled_sx_hot_corrosion_001	1
ns_ht_q023	ns_ht_tic_in625_oxidation_001	1
ns_ht_q024	ns_ht_gh4169_entropy_fatigue_001	1
ns_ht_q024	ns_ht_pm_hip_fatigue_review_001	1
